代码,名称
600566,济川药业
600567,山鹰国际
600568,ST中珠
600569,安阳钢铁
600570,恒生电子
600571,信雅达
600572,康恩贝
600573,惠泉啤酒
600575,淮河能源
600576,祥源文旅
600577,精达股份
600578,京能电力
600579,中化装备
600580,卧龙电驱
600581,*ST八钢
600582,天地科技
600583,海油工程
600584,长电科技
600585,海螺水泥
600586,金晶科技
600587,新华医疗
600588,用友网络
600589,大位科技
600590,泰豪科技
600592,龙溪股份
600593,大连圣亚
600594,益佰制药
600595,中孚实业
600596,新安股份
600597,光明乳业
600598,北大荒
600600,青岛啤酒
600601,方正科技
600602,云赛智联
600603,广汇物流
600604,市北高新
600605,汇通能源
600606,绿地控股
600609,金杯汽车
600610,中毅达
600611,大众交通
600612,老凤祥
600613,神奇制药
600615,鑫源智造
600616,金枫酒业
600617,国新能源
600618,氯碱化工
600619,海立股份
600620,天宸股份
600621,华鑫股份
600622,光大嘉宝
600623,华谊集团
600624,ST复华
600626,申达股份
600628,新世界
600629,华建集团
600630,龙头股份
600633,浙数文化
600635,大众公用
600637,东方明珠
600638,新黄浦
600639,浦东金桥
600640,国脉文化
600641,先导基电
600642,申能股份
600643,爱建集团
600644,乐山电力
600645,中源协和
600648,外高桥
600649,城投控股
600650,锦江在线
600651,飞乐音响
600653,申华控股
600654,中安科
600655,豫园股份
600657,信达地产
600658,电子城
600660,福耀玻璃
600661,昂立教育
600662,外服控股
600663,陆家嘴
600664,哈药股份
600665,天地源
600666,奥瑞德
600667,太极实业
600668,尖峰集团
600671,天目药业
600673,东阳光
600674,川投能源
600675,中华企业
600676,交运股份
600678,ST金顶
600679,上海凤凰
600681,百川能源
600682,南京新百
600683,京投发展
600684,珠江股份
600685,中船防务
600686,金龙汽车
600688,上海石化
600689,上海三毛
600690,海尔智家
600691,潞化科技
600692,亚通股份
600693,东百集团
600694,大商股份
600697,欧亚集团
600698,湖南天雁
600699,均胜电子
600702,舍得酒业
600703,三安光电
600704,物产中大
600706,曲江文旅
600707,彩虹股份
600708,光明地产
600710,苏美达
600711,盛屯矿业
600712,南宁百货
600713,南京医药
600714,金瑞矿业
600715,文投控股
600716,凤凰股份
600717,天津港
600718,东软集团
600719,大连热电
600720,中交设计
600721,百花医药
600722,金牛化工
600724,宁波富达
600725,云维股份
600726,华电能源
600727,鲁北化工
600728,佳都科技
600729,重百集团
600730,*ST高科
600731,湖南海利
600732,爱旭股份
600733,北汽蓝谷
600734,*ST实达
600735,ST新华锦
600736,苏州高新
600737,中粮糖业
600738,丽尚国潮
600739,辽宁成大
600740,山西焦化
600741,华域汽车
600742,富维股份
600743,华远控股
600744,华银电力
600745,*ST闻泰
600746,江苏索普
600748,上实发展
600749,西藏旅游
600750,华润江中
600751,海航科技
600753,ST海钦
600754,锦江酒店
600755,厦门国贸
600756,浪潮软件
600757,长江传媒
600758,辽宁能源
600759,ST洲际
600760,中航沈飞
600761,安徽合力
600763,通策医疗
600764,中国海防
600765,中航重机
600768,宁波富邦
600769,祥龙电业
600770,综艺股份
600771,广誉远
600773,西藏城投
600774,汉商集团
600775,南京熊猫
600776,东方通信
600777,新潮能源
600778,友好集团
600779,水井坊
600780,通宝能源
600782,新钢股份
600783,鲁信创投
600784,鲁银投资
600785,新华百货
600787,中储股份
600789,鲁抗医药
600790,XD轻纺城
600791,京能置业
600792,云煤能源
600793,宜宾纸业
600794,保税科技
600795,国电电力
600796,钱江生化
600797,浙大网新
600798,宁波海运
600800,渤海化学
600801,华新建材
600802,福建水泥
600803,新奥股份
600805,悦达投资
600807,济高发展
600808,马钢股份
600809,山西汾酒
600810,神马股份
600812,华北制药
600814,杭州解百
600815,厦工股份
600816,建元信托
600817,宇通重工
600818,ST中路
600819,XD耀皮玻
600820,隧道股份
600821,金开新能
600822,上海物贸
600824,益民集团
600825,新华传媒
600826,兰生股份
600827,百联股份
600828,茂业商业
600829,人民同泰
600830,香溢融通
600831,广电网络
600833,第一医药
600834,申通地铁
600835,上海机电
600838,上海九百
600839,四川长虹
600841,动力新科
600843,上工申贝
600844,金煤科技
600845,宝信软件
600846,同济科技
600847,万里股份
600848,上海临港
600850,电科数字
600851,海欣股份
600853,龙建股份
600854,春兰股份
600855,航天长峰
600857,宁波中百
600858,银座股份
600859,王府井
600860,京城股份
600861,北京人力
600862,中航高科
600863,华能蒙电
600864,哈投股份
600865,百大集团
600866,星湖科技
600867,通化东宝
600868,梅雁吉祥
600869,远东股份
600871,石化油服
600872,中炬高新
600873,梅花生物
600874,创业环保
600875,东方电气
600876,凯盛新能
600877,电科芯片
600879,航天电子
600880,博瑞传播
600881,亚泰集团
600882,妙可蓝多
600883,博闻科技
600884,杉杉股份
600885,宏发股份
600886,国投电力
600887,伊利股份
600888,新疆众和
600889,*ST京化
600892,大晟文化
600893,航发动力
600894,广日股份
600895,张江高科
600897,厦门空港
600900,长江电力
600901,江苏金租
600903,贵州燃气
600905,三峡能源
600906,财达证券
600908,XD无锡银
600909,华安证券
600916,中国黄金
600917,重庆燃气
600918,中泰证券
600919,江苏银行
600925,苏能股份
600926,杭州银行
600927,永安期货
600928,西安银行
600929,雪天盐业
600930,华电新能
600933,爱柯迪
600935,华塑股份
600936,北投科技
600938,中国海油
600939,重庆建工
600941,中国移动
600955,维远股份
600956,新天绿能
600958,东方证券
600959,江苏有线
600960,渤海汽车
600961,株冶集团
600962,国投中鲁
600963,岳阳林纸
600965,*ST福成
600966,博汇纸业
600967,内蒙一机
600968,海油发展
600969,郴电国际
600970,中材国际
600971,恒源煤电
600973,宝胜股份
600975,新五丰
600976,健民集团
600977,中国电影
600979,广安爱众
600980,北矿科技
600981,苏豪汇鸿
600982,宁波能源
600983,惠而浦
600984,建设机械
600985,淮北矿业
600986,浙文互联
600987,航民股份
600988,赤峰黄金
600989,宝丰能源
600990,四创电子
600992,贵绳股份
600993,马应龙
600995,南网储能
600996,贵广网络
600997,开滦股份
600998,九州通
600999,招商证券
601000,唐山港
601001,晋控煤业
601002,晋亿实业
601003,柳钢股份
601005,重庆钢铁
601006,大秦铁路
601007,金陵饭店
601008,连云港
601009,南京银行
601010,ST文峰
601011,宝泰隆
601012,隆基绿能
601015,陕西黑猫
601016,节能风电
601018,宁波港
601019,山东出版
601020,华钰矿业
601021,春秋航空
601022,宁波远洋
601026,道生天合
601033,永兴股份
601038,一拖股份
601058,赛轮轮胎
601059,信达证券
601061,中信金属
601065,XD江盐集
601066,中信建投
601068,中铝国际
601069,西部黄金
601077,渝农商行
601083,锦江航运
601086,国芳集团
601088,中国神华
601089,福元医药
601096,宏盛华源
601098,中南传媒
601099,太平洋
601100,恒立液压
601101,昊华能源
601106,中国一重
601107,四川成渝
601108,财通证券
601111,中国国航
601112,振石股份
601113,华鼎股份
601116,三江购物
601117,中国化学
601118,海南橡胶
601121,宝地矿业
601126,四方股份
601127,赛力斯
601128,常熟银行
601133,柏诚股份
601136,首创证券
601137,博威合金
601138,工业富联
601139,深圳燃气
601155,新城控股
601156,东航物流
601158,重庆水务
601162,天风证券
601163,三角轮胎
601166,兴业银行
601168,西部矿业
601169,北京银行
601177,杭齿前进
601179,中国西电
601186,中国铁建
601187,厦门银行
601188,龙江交通
601198,东兴证券
601199,江南水务
601200,上海环境
601208,东材科技
601211,国泰海通
601212,白银有色
601216,君正集团
601218,吉鑫科技
601222,林洋能源
601225,陕西煤业
601226,华电科工
601228,广州港
601229,上海银行
601231,环旭电子
601233,桐昆股份
601236,红塔证券
601238,广汽集团
601279,英利汽车
601288,农业银行
601298,青岛港
601311,骆驼股份
601318,中国平安
601319,中国人保
601326,秦港股份
601328,交通银行
601330,绿色动力
601333,广深铁路
601336,新华保险
601339,百隆东方
601360,三六零
601366,利群股份
601368,绿城水务
601369,陕鼓动力
601375,中原证券
601377,兴业证券
601388,怡球资源
601390,中国中铁
601398,工商银行
601399,国机重装
601456,国联民生
601500,通用股份
601512,中新集团
601515,衢州东峰
601518,吉林高速
601519,大智慧
601528,瑞丰银行
601555,东吴证券
601566,九牧王
601567,三星电气
601568,北元化工
601577,长沙银行
601579,会稽山
601588,北辰实业
601595,上海电影
601598,中国外运
601599,浙文影业
601600,中国铝业
601601,中国太保
601606,长城军工
601607,上海医药
601608,中信重工
601609,金田股份
601611,中国核建
601615,明阳智能
601616,广电电气
601618,中国中冶
601619,嘉泽新能
601628,中国人寿
601633,长城汽车
601636,旗滨集团
601658,邮储银行
601665,齐鲁银行
601666,平煤股份
601668,中国建筑
601669,中国电建
601677,明泰铝业
601678,滨化股份
601686,友发集团
601688,华泰证券
601689,拓普集团
601696,中银证券
601698,中国卫通
601699,潞安环能
601700,风范股份
601702,华峰铝业
601717,中创智领
601718,ST际华
601727,上海电气
601728,中国电信
601766,中国中车
601777,千里科技
601778,晶科科技
601788,光大证券
601789,宁波建工
601798,蓝科高新
601799,星宇股份
601800,中国交建
601801,皖新传媒
601808,中海油服
601811,新华文轩
601816,京沪高铁
601818,光大银行
601825,沪农商行
601827,三峰环境
601828,美凯龙
601838,成都银行
601857,中国石油
601858,中国科传
601860,紫金银行
601865,福莱特
601866,中远海发
601868,中国能建
601869,长飞光纤
601872,招商轮船
601877,正泰电器
601878,浙商证券
601880,辽港股份
601881,中国银河
601882,海天精工
601886,江河集团
601888,中国中免
601890,亚星锚链
601898,中煤能源
601899,紫金矿业
601900,南方传媒
601901,方正证券
601908,京运通
601916,浙商银行
601918,新集能源
601919,中远海控
601921,浙版传媒
601928,凤凰传媒
601929,吉视传媒
601933,永辉超市
601939,建设银行
601949,中国出版
601952,苏垦农发
601956,东贝集团
601958,金钼股份
601963,XD重庆银
601965,中国汽研
601966,玲珑轮胎
601968,宝钢包装
601969,海南矿业
601975,招商南油
601985,中国核电
601988,中国银行
601990,南京证券
601991,大唐发电
601992,金隅集团
601995,中金公司
601996,丰林集团
601997,贵阳银行
601998,中信银行
601999,出版传媒
603000,人民网
603001,奥康国际
603002,宏昌电子
603004,鼎龙科技
603005,晶方科技
603006,联明股份
603007,顺景科技
603008,ST喜临门
603009,北特科技
603010,万盛股份
603011,合锻智能
603012,创力集团
603013,亚普股份
603014,威高血净
603015,弘讯科技
603016,新宏泰
603017,中衡设计
603018,华设集团
603019,中科曙光
603020,爱普股份
603021,*ST华鹏
603022,新通联
603023,威帝股份
603025,大豪科技
603026,石大胜华
603027,千禾味业
603028,赛福天
603029,天鹅股份
603030,全筑股份
603031,安孚科技
603032,德新科技
603033,三维股份
603035,常熟汽饰
603036,如通股份
603037,凯众股份
603038,华立股份
603039,泛微网络
603040,新坐标
603041,美思德
603042,华脉科技
603043,广州酒家
603045,福达合金
603048,浙江黎明
603049,中策橡胶
603050,科林电气
603051,鹿山新材
603052,可川科技
603053,成都燃气
603055,台华新材
603057,紫燕食品
603058,永吉股份
603059,倍加洁
603060,国检集团
603061,金海通
603062,麦加芯彩
603063,禾望电气
603065,宿迁联盛
603066,音飞储存
603067,振华股份
603068,博通集成
603069,海汽集团
603070,万控智造
603071,物产环能
603072,天和磁材
603073,彩蝶实业
603075,热威股份
603076,乐惠国际
603077,和邦生物
603078,江化微
603079,圣达生物
603080,新疆火炬
603081,大丰实业
603082,北自科技
603083,剑桥科技
603085,天成自控
603086,先达股份
603087,甘李药业
603088,宁波精达
603089,正裕工业
603090,宏盛股份
603091,众鑫股份
603092,德力佳
603093,南华期货
603095,越剑智能
603096,新经典
603097,江苏华辰
603098,森特股份
603099,长白山
603100,川仪股份
603101,汇嘉时代
603102,百合股份
603103,横店影视
603105,芯能科技
603106,恒银科技
603107,上海汽配
603108,润达医疗
603109,神驰机电
603110,东方材料
603111,康尼机电
603112,华翔股份
603113,金能科技
603115,海星股份
603116,红蜻蜓
603117,万林物流
603118,共进股份
603119,浙江荣泰
603120,肯特催化
603121,华培动力
603122,合富中国
603123,翠微股份
603124,江南新材
603125,常青科技
603126,中材节能
603127,昭衍新药
603128,华贸物流
603129,春风动力
603130,云中马
603131,上海沪工
603132,金徽股份
603135,中重科技
603136,天目湖
603137,恒尚节能
603138,海量数据
603139,康惠股份
603150,万朗磁塑
603151,邦基科技
603153,上海建科
603155,新亚强
603156,养元饮品
603158,腾龙股份
603159,上海亚虹
603160,汇顶科技
603161,科华控股
603162,海通发展
603163,圣晖集成
603165,荣晟环保
603166,福达股份
603167,渤海轮渡
603168,莎普爱思
603169,兰石重装
603170,宝立食品
603171,税友股份
603172,万丰股份
603173,福斯达
603175,超颖电子
603176,汇通集团
603177,德创环保
603178,圣龙股份
603179,新泉股份
603180,金牌家居
603181,皇马科技
603182,嘉华股份
603183,建研院
603185,弘元绿能
603186,华正新材
603187,海容冷链
603188,亚邦股份
603189,*ST网达
603190,亚通精工
603191,望变电气
603192,汇得科技
603193,润本股份
603194,中力股份
603195,公牛集团
603196,璞源材料
603197,保隆科技
603198,迎驾贡酒
603199,九华旅游
603200,上海洗霸
603201,常润股份
603202,天有为
603203,快克智能
603205,健尔康
603206,嘉环科技
603207,小方制药
603208,江山欧派
603209,兴通股份
603210,泰鸿万立
603211,晋拓股份
603212,赛伍技术
603213,镇洋发展
603214,爱婴室
603215,比依股份
603216,梦天家居
603217,元利科技
603218,日月股份
603219,富佳股份
603220,中贝通信
603221,爱丽家居
603222,济民健康
603223,恒通股份
603225,新凤鸣
603226,菲林格尔
603227,雪峰科技
603228,景旺电子
603229,奥翔药业
603230,内蒙新华
603231,索宝蛋白
603232,格尔软件
603233,大参林
603235,天新药业
603236,移远通信
603237,五芳斋
603238,诺邦股份
603239,浙江仙通
603248,锡华科技
603255,鼎际得
603256,宏和科技
603257,中国瑞林
603258,电魂网络
603259,药明康德
603260,合盛硅业
603261,立航科技
603262,技源集团
603266,天龙股份
603267,鸿远电子
603268,松发股份
603269,海鸥股份
603270,金帝股份
603271,永杰新材
603272,*ST联翔
603273,天元智能
603275,众辰科技
603276,恒兴新材
603277,银都股份
603278,大业股份
603279,景津装备
603280,南方路机
603281,江瀚新材
603282,亚光股份
603283,赛腾股份
603284,林平发展
603285,键邦股份
603286,日盈电子
603288,海天味业
603289,泰瑞机器
603290,斯达半导
603291,联合水务
603293,埃泰克
603296,华勤技术
603297,永新光学
603298,杭叉集团
603299,苏盐井神
603300,海南华铁
603301,振德医疗
603303,得邦照明
603305,旭升集团
603306,华懋科技
603307,扬州金泉
603308,应流股份
603309,维力医疗
603310,巍华新材
603311,金海高科
603312,西典新能
603313,梦百合
603315,福鞍股份
603316,诚邦股份
603317,天味食品
603318,水发燃气
603319,美湖股份
603320,迪贝电气
603321,梅轮电梯
603322,超讯科技
603323,苏农银行
603324,盛剑科技
603325,博隆技术
603326,我乐家居
603327,福蓉科技
603328,依顿电子
603329,上海雅仕
603330,天洋新材
603331,百达精工
603332,苏州龙杰
603333,福华尚纬
603334,丰倍生物
603335,迪生力
603336,宏辉果蔬
603337,杰克科技
603338,浙江鼎力
603339,四方科技
603341,龙旗科技
603344,星德胜
603345,安井食品
603348,文灿股份
603350,安乃达
603351,威尔药业
603352,至信股份
603353,和顺石油
603355,莱克电气
603356,华菱精工
603357,设计总院
603358,华达科技
603359,*ST东珠
603360,百傲化学
603363,傲农生物
603365,水星家纺
603366,日出东方
603367,辰欣药业
603368,柳药集团
603369,今世缘
603370,华新精科
603373,安邦护卫
603375,盛景微
603376,大明电子
603377,ST东时
603378,*ST亚士
603379,三美股份
603380,易德龙
603381,永臻股份
603382,海阳科技
603383,顶点软件
603385,惠达卫浴
603386,骏亚科技
603387,基蛋生物
603389,亚振家居
603390,通达电气
603391,力聚热能
603392,万泰生物
603393,新天然气
603395,红四方
603396,金辰股份
603398,*ST沐邦
603399,永杉锂业
603400,华之杰
603402,陕西旅游
603406,天富龙
603407,长裕集团
603408,建霖家居
603409,汇通控股
603416,信捷电气
603418,友升股份
603421,鼎信通讯
603429,*ST集友
603435,嘉德利
603439,三力制药
603444,吉比特
603456,九洲药业
603458,勘设股份
603459,红板科技
603466,风语筑
603477,巨星农牧
603486,科沃斯
603488,展鹏科技
603489,八方股份
603496,恒为科技
603499,翔港科技
603500,祥和实业
603501,豪威集团
603505,金石资源
603506,南都物业
603507,振江股份
603508,思维列控
603511,爱慕股份
603515,欧普照明
603516,淳中科技
603517,ST绝味
603518,锦泓集团
603519,立霸股份
603520,司太立
603527,众源新材
603528,多伦科技
603529,爱玛科技
603530,神马电力
603533,掌阅科技
603535,嘉诚国际
603536,惠发食品
603538,美诺华
603551,奥普科技
603556,XD海兴电
603557,*ST起步
603558,健盛集团
603559,中通国脉
603565,中谷物流
603566,普莱柯
603567,珍宝岛
603568,伟明环保
603569,长久物流
603577,汇金通
603578,三星新材
603579,荣泰健康
603580,艾艾精工
603583,捷昌驱动
603585,苏利股份
603586,金麒麟
603587,地素时尚
603588,高能环境
603589,口子窖
603590,康辰药业
603595,ST东尼
603596,伯特利
603598,引力传媒
603599,广信股份
603600,永艺股份
603601,再升科技
603602,纵横通信
603605,珀莱雅
603606,东方电缆
603607,京华激光
603608,天创时尚
603609,禾丰股份
603610,麒盛科技
603611,诺力股份
603612,索通发展
603613,国联股份
603615,茶花股份
603616,韩建河山
603617,君禾股份
603618,杭电股份
603619,中曼石油
603626,科森科技
603628,清源股份
603629,DR利通电
603630,拉芳家化
603633,徕木股份
603636,南威软件
603637,镇海股份
603638,艾迪精密
603639,海利尔
603648,畅联股份
603650,彤程新材
603655,朗博科技
603656,泰禾智能
603657,春光科技
603658,安图生物
603659,璞泰来
603660,苏州科达
603661,恒林股份
603662,柯力传感
603663,三祥新材
603665,康隆达
603666,亿嘉和
603667,五洲新春
603668,天马科技
603669,灵康药业
603676,卫信康
603677,奇精机械
603678,火炬电子
603679,华体科技
603680,今创集团
603681,永冠新材
603682,锦和商管
603683,XD晶华新
603685,晨丰科技
603686,福龙马
603687,大胜达
603688,石英股份
603689,皖天然气
603690,至纯科技
603693,江苏新能
603696,安记食品
603697,有友食品
603698,航天工程
603699,纽威股份
603700,宁水集团
603701,德宏股份
603703,盛洋科技
603706,东方环宇
603707,健友股份
603708,家家悦
603709,中源家居
603711,香飘飘
603712,七一二
603713,密尔克卫
603716,塞力医疗
603717,天域生物
603718,*ST海利
603719,良品铺子
603721,中广天择
603722,阿科力
603725,天安新材
603726,朗迪集团
603727,博迈科
603728,鸣志电器
603729,ST龙韵
603730,岱美股份
603733,仙鹤股份
603737,三棵树
603738,泰晶科技
603739,蔚蓝生物
603755,日辰股份
603757,大元泵业
603758,秦安股份
603759,海天股份
603766,隆鑫通用
603767,中马传动
603768,常青股份
603773,沃格光电
603776,永安行
603777,来伊份
603778,国晟科技
603779,威龙股份
603786,科博达
603787,新日股份
603788,宁波高发
603789,ST星农
603790,雅运股份
603797,联泰环保
603798,康普顿
603799,华友钴业
603800,洪田股份
603801,志邦家居
603803,瑞斯康达
603806,福斯特
603808,歌力思
